,0,1,2
189,1.050381,-0.09106102,-0.10256922
190,1.2464403,0.01240855,-0.14392565
191,1.183992,-0.19680835,-0.13961883
192,1.4053177,-0.17684814,-0.14055142
193,1.262871,0.043478973,-0.051419012
194,0.9380883,-0.18973193,-0.14746612
195,1.2406832,-0.19242662,-0.14445812
196,1.4626302,-0.26426992,-0.15854047
197,1.014908,-0.005502967,-0.0638629
198,1.1262606,-0.18440206,-0.1523208
199,1.4262348,-0.07341443,-0.16071296
200,1.3201389,-0.22118919,-0.15604898
201,1.4173619,0.05616105,-0.04528951
202,1.088429,-0.08246755,-0.15727524
203,1.4302921,-0.20122883,-0.14920247
204,1.2577431,-0.16911139,-0.13310236
205,1.3676949,-0.09852425,-0.117186725
206,0.9055282,-0.23472089,-0.1554485
207,1.1772206,-0.107421145,-0.15748195
208,0.9458443,-0.14900011,-0.15030758
209,1.2969201,-0.030400664,-0.085889116
210,1.2717361,-0.18309243,-0.12023293
211,1.1787665,-0.0930179,-0.116218574
212,1.3382726,-0.21394092,-0.15038829
213,1.4050299,-0.1949634,-0.14654258
214,1.3863238,-0.28503734,-0.16430452
215,1.0242455,-0.13439761,-0.111083716
216,1.0506891,-0.11238547,-0.12213809
217,1.0915527,-0.13248813,-0.17549607
218,1.2373224,-0.23448332,-0.15173994
219,0.992656,-0.053043243,-0.11956952
220,1.4621466,-0.036131322,-0.16333953
221,1.1198965,0.005776417,-0.06146067
222,1.1238366,-0.022331484,-0.09703598
223,1.1202184,-0.25157264,-0.16611795
224,1.1834576,-0.050342795,-0.087194026
225,1.040745,-0.24692526,-0.15648499
226,1.0502216,-0.042141456,-0.109295405
227,1.2038786,0.07278892,-0.09378251
228,0.8185168,-0.19595857,-0.12814564
229,1.2658879,-0.20441416,-0.20175087
230,1.3526922,-0.19716504,-0.20453973
231,1.3451054,-0.13017397,-0.12661396
232,1.266289,-0.056833323,-0.1583352
233,1.1485044,-0.042458143,-0.14277568
234,1.3514448,-0.1928906,-0.1436579
235,1.0158526,0.009180887,-0.083896264
236,1.0100251,-0.22793679,-0.15826532
237,1.0713458,-0.1549923,-0.1262816
